n,seed,method,alpha,auc,error,model
200,2024,ModernLLM,0.1,0.724404761904762,,mistralai/Mistral-7B-v0.1
200,2024,ModernLLM,0.2,0.7405952380952381,,mistralai/Mistral-7B-v0.1
200,2024,ModernLLM,0.3,0.7339285714285715,,mistralai/Mistral-7B-v0.1
200,2024,ModernLLM,0.5,0.7109523809523809,,mistralai/Mistral-7B-v0.1
200,2024,ModernLLM,1.0,0.7361904761904761,,mistralai/Mistral-7B-v0.1
200,999,Baseline,0.0,0.7671428571428572,,—
200,999,ModernLLM,0.1,0.7711904761904762,,mistralai/Mistral-7B-v0.1
200,999,ModernLLM,0.2,0.7564285714285715,,mistralai/Mistral-7B-v0.1
200,999,ModernLLM,0.3,0.7358333333333333,,mistralai/Mistral-7B-v0.1
200,999,ModernLLM,0.5,0.6917857142857142,,mistralai/Mistral-7B-v0.1
200,999,ModernLLM,1.0,0.6948809523809524,,mistralai/Mistral-7B-v0.1
200,123,Baseline,0.0,0.8032142857142858,,—
200,123,ModernLLM,0.1,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.2,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.3,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.5,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,1.0,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,Baseline,0.0,0.8032142857142858,,—
200,123,ModernLLM,0.1,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.2,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.3,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.5,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,1.0,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,Baseline,0.0,0.8032142857142858,,—
200,123,ModernLLM,0.1,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.2,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.3,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.5,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,1.0,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,Baseline,0.0,0.8032142857142858,,—
200,123,ModernLLM,0.1,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.2,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.3,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,0.5,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
200,123,ModernLLM,1.0,,Empty after NaN cleaning,mistralai/Mistral-7B-v0.1
