n_real,condition,mape,r2
250,real_only,3.592533062188802,-0.24950221521161642
250,ctgan_augmented,2.62407095082642,-0.14709038992080403
500,real_only,3.513753804716551,-0.12826186771615822
500,ctgan_augmented,2.3405787031184953,-0.16058095016586105
1000,real_only,3.869009095574418,-0.19162841991172086
1000,ctgan_augmented,3.987983200333858,-0.06001417767013728
2000,real_only,3.4575121032688947,-0.16343172252424054
2000,ctgan_augmented,4.021438662089777,-0.09188361486004282
