seed,method,condition,alpha,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,0.6189059220489386,0.0,0.013636204915036027
42,TabDDPM,augmented,0.1,0.5349371662371476,0.0,0.010278990407036896
42,TabDDPM,augmented,0.2,0.6335449932251123,0.0,0.018386130736235552
42,TabDDPM,augmented,0.3,0.6353250617710353,0.0,0.014687515542254314
42,TabDDPM,augmented,0.5,0.6062328967294561,0.0,0.013197582864454412
42,TabDDPM,augmented,1.0,0.6523951220808204,0.0,0.015590276366517936
123,Baseline,real_only,0.0,0.5465579100796053,0.06060606060606061,0.022175405417682606
123,TabDDPM,augmented,0.1,0.590074559928243,0.06896551724137931,0.026178473758783297
123,TabDDPM,augmented,0.2,0.6161425047651082,0.0,0.016494479670046403
123,TabDDPM,augmented,0.3,0.6235284224688866,0.0,0.01585997566675905
123,TabDDPM,augmented,0.5,0.49531898194864893,0.0,0.01139029221561797
123,TabDDPM,augmented,1.0,0.5599562731247898,0.0,0.011329789111455844
7,Baseline,real_only,0.0,0.6195996874712749,0.0,0.016951142268389435
7,TabDDPM,augmented,0.1,0.5711577350859454,0.0,0.014856343035610859
7,TabDDPM,augmented,0.2,0.6032608695652173,0.0,0.016149583906359247
7,TabDDPM,augmented,0.3,0.5740876918834452,0.0,0.015382269120363393
7,TabDDPM,augmented,0.5,0.5667455648497105,0.0,0.013536932889196012
7,TabDDPM,augmented,1.0,0.5534630940343781,0.0,0.013774878324820064
2024,Baseline,real_only,0.0,0.45032778618255176,0.0,0.007780097148912483
2024,TabDDPM,augmented,0.1,0.3705022099611403,0.0,0.006600172383775317
2024,TabDDPM,augmented,0.2,0.4741924001067901,0.0,0.00826653040445276
2024,TabDDPM,augmented,0.3,0.482438966509448,0.0,0.008086029339485042
2024,TabDDPM,augmented,0.5,0.40555011717243633,0.0,0.00736404843195122
2024,TabDDPM,augmented,1.0,0.4011005309839519,0.0,0.007216790278004291
999,Baseline,real_only,0.0,0.50236456866548,0.0,0.010278198017701178
999,TabDDPM,augmented,0.1,0.42421424586200485,0.0,0.008681686450720452
999,TabDDPM,augmented,0.2,0.47789526820585027,0.0,0.009190578996792917
999,TabDDPM,augmented,0.3,0.4481920348574617,0.0,0.009147935070750839
999,TabDDPM,augmented,0.5,0.45819495735805943,0.0,0.009046921926270338
999,TabDDPM,augmented,1.0,0.38490661282180716,0.0,0.007720597156581278
